Date,Original,Prediction
2018-06-11,539.95,535.8623046875
2018-06-12,537.15,531.054443359375
2018-06-13,540.65,530.3848876953125
2018-06-14,532.0,532.2923583984375
2018-06-15,528.75,535.6409912109375
2018-06-18,522.55,525.947265625
2018-06-19,517.2,518.879150390625
2018-06-20,519.1,520.1282958984375
2018-06-21,513.05,513.3343505859375
2018-06-22,525.65,517.3419799804688
2018-06-25,515.2,509.95562744140625
2018-06-26,514.2,516.7469482421875
2018-06-27,507.85,510.928955078125
2018-06-28,504.6,510.0426025390625
2018-06-29,510.8,502.0658874511719
2018-07-02,512.25,501.66973876953125
2018-07-03,511.55,503.0423278808594
2018-07-04,514.75,504.8983459472656
2018-07-05,511.0,508.4261779785156
2018-07-06,513.7,506.52813720703125
2018-07-09,525.25,506.2598876953125
2018-07-10,532.55,507.34619140625
2018-07-11,536.55,516.9088134765625
2018-07-12,538.35,522.23095703125
2018-07-13,523.0,528.3095092773438
2018-07-16,522.1,530.4605712890625
2018-07-17,537.9,516.4556274414062
2018-07-18,526.55,516.355224609375
2018-07-19,526.8,525.4154663085938
2018-07-20,533.7,519.5000610351562
2018-07-23,540.35,521.3921508789062
2018-07-24,546.1,525.2476806640625
2018-07-25,532.25,531.6663208007812
2018-07-26,541.65,536.7877807617188
2018-07-27,553.25,526.2462768554688
2018-07-30,569.65,529.8030395507812
2018-07-31,550.4,540.9641723632812
2018-08-01,545.15,555.4769287109375
2018-08-02,547.25,547.4420776367188
2018-08-03,574.75,535.7755737304688
2018-08-06,596.8,537.6704711914062
2018-08-07,593.0499999999998,559.029541015625
2018-08-08,596.2999999999998,582.6005859375
2018-08-09,621.05,580.2039184570312
2018-08-10,615.5,580.546142578125
2018-08-13,604.9,599.5206298828125
2018-08-14,618.05,601.6774291992188
2018-08-16,623.45,592.6407470703125
2018-08-17,627.3,604.2667236328125
2018-08-20,624.4,609.6763916015625
2018-08-21,635.75,614.4417114257812
2018-08-23,631.75,612.9393920898438
2018-08-24,639.9,617.5794677734375
2018-08-27,650.2,621.9528198242188
2018-08-28,660.05,627.3846435546875
2018-08-29,656.8999999999999,635.2567138671875
2018-08-30,649.75,640.3140869140625
2018-08-31,649.25,644.2789916992188
2018-09-03,631.8,635.2294311523438
2018-09-04,641.8,634.9026489257812
2018-09-05,637.65,624.3062133789062
2018-09-06,638.2,626.5816650390625
2018-09-07,645.55,628.5160522460938
2018-09-10,651.75,625.2405395507812
2018-09-11,650.15,632.3495483398438
2018-09-12,635.4499999999999,644.7500610351562
2018-09-14,636.4,640.323486328125
2018-09-17,625.95,626.3072509765625
2018-09-18,608.6,626.8040161132812
2018-09-19,608.8,615.9964599609375
2018-09-21,599.1999999999999,605.5054321289062
2018-09-24,597.35,604.0172119140625
2018-09-25,614.3499999999999,586.1460571289062
2018-09-26,617.45,593.732666015625
2018-09-27,600.15,601.1150512695312
2018-09-28,613.25,610.8698120117188
2018-10-01,593.45,593.1112060546875
2018-10-03,572.25,599.4149780273438
2018-10-04,586.25,580.0049438476562
2018-10-05,568.5,569.9457397460938
2018-10-08,556.55,569.7424926757812
2018-10-09,552.85,568.4440307617188
2018-10-10,589.2,552.3982543945312
2018-10-11,580.85,551.6459350585938
2018-10-12,584.9,572.9957885742188
2018-10-15,576.55,561.2020263671875
2018-10-16,588.85,582.3963012695312
2018-10-17,576.05,564.8784790039062
2018-10-19,562.55,574.5086669921875
2018-10-22,562.05,567.8546142578125
2018-10-23,562.75,554.276123046875
2018-10-24,564.1,557.5380859375
2018-10-25,561.05,555.6744384765625
2018-10-26,537.7,559.8734130859375
2018-10-29,566.7,552.2430419921875
2018-11-01,607.2,536.2308959960938
2018-11-02,617.3,555.9091186523438
2018-11-05,623.1,593.3720703125
2018-11-06,608.1,600.9777221679688
2018-11-09,611.7,608.5648193359375
2018-11-12,608.0,591.918701171875
2018-11-13,619.0,597.4071655273438
2018-11-15,623.95,597.3975219726562
2018-11-19,617.6000000000001,603.7958374023438
2018-11-20,610.0,610.7255249023438
2018-11-21,625.3499999999999,603.5264282226562
2018-11-22,614.6,602.2804565429688
2018-11-26,632.35,611.3750610351562
2018-11-27,624.0,606.4652709960938
2018-11-28,626.6,617.9857177734375
2018-11-29,629.5000000000001,615.4607543945312
2018-11-30,624.4499999999999,615.6441040039062
2018-12-03,625.0,617.07958984375
2018-12-04,623.8,616.1312255859375
2018-12-05,614.9,614.74267578125
2018-12-06,598.95,612.7423095703125
2018-12-07,604.5,607.0528564453125
2018-12-10,590.55,593.0283203125
2018-12-11,603.9,594.8974609375
2018-12-12,622.0,584.3597412109375
2018-12-13,618.9,593.1544189453125
2018-12-14,620.25,608.737060546875
2018-12-17,616.4999999999999,609.9862670898438
2018-12-18,618.8,606.0736694335938
2018-12-19,640.0,607.1459350585938
2018-12-20,633.3,606.8820190429688
2018-12-21,621.65,624.8991088867188
2018-12-24,614.2,622.1788330078125
2018-12-26,619.5,610.5228271484375
2018-12-27,616.4,606.6620483398438
2018-12-28,625.8,605.2324829101562
2018-12-31,619.9,610.8993530273438
2019-01-01,628.0,616.3890991210938
2019-01-02,619.45,612.3385009765625
2019-01-03,609.0,617.1293334960938
2019-01-04,619.6,609.8558349609375
2019-01-07,637.4,600.174072265625
2019-01-08,652.15,609.9014282226562
2019-01-09,671.2,625.0092163085938
2019-01-10,665.2,633.0043334960938
2019-01-11,666.0,651.615234375
2019-01-14,658.3499999999999,644.6168212890625
2019-01-15,660.5,647.7561645507812
2019-01-16,662.75,641.349853515625
2019-01-17,674.9,646.500732421875
2019-01-18,664.25,651.7022094726562
2019-01-21,658.85,660.3284301757812
2019-01-22,659.4,651.5717163085938
2019-01-23,659.85,646.7427368164062
2019-01-24,663.25,646.9804077148438
2019-01-25,668.25,650.7858276367188
2019-01-28,658.5,649.6038208007812
2019-01-29,669.3499999999999,658.467529296875
2019-01-30,691.0000000000001,645.4813842773438
2019-01-31,720.8,651.1223754882812
2019-02-01,717.3,680.7852172851562
2019-02-04,721.5,693.8703002929688
2019-02-05,730.0,694.4255981445312
2019-02-06,726.0,697.0054931640625
2019-02-07,730.0,706.921142578125
2019-02-08,721.15,703.6800537109375
2019-02-11,710.85,710.6708984375
2019-02-12,703.4500000000002,703.3460693359375
2019-02-13,699.35,694.351318359375
2019-02-14,697.0,690.97509765625
2019-02-18,692.4,687.6288452148438
2019-02-19,691.7,686.3623046875
2019-02-20,699.6,677.9552001953125
