Date,Original,last 10 years model prediction
2019-10-23,11604.099609375,11758.1865234375
2019-10-24,11582.599609375,11736.0185546875
2019-10-25,11583.900390625,11695.00390625
2019-10-29,11786.849609375,11719.337890625
2019-10-30,11844.099609374998,11694.0576171875
2019-10-31,11877.450195312498,11874.2783203125
2019-11-01,11890.599609375,11995.3515625
2019-11-04,11941.2998046875,12004.38671875
2019-11-05,11917.2001953125,11981.6044921875
2019-11-06,11966.0498046875,12057.625
2019-11-07,12012.0498046875,12032.193359375
2019-11-08,11908.150390624998,12043.6796875
2019-11-11,11913.4501953125,12130.5361328125
2019-11-13,11840.450195312498,12059.1142578125
2019-11-14,11872.099609375,12005.90625
2019-11-15,11895.450195312498,12007.138671875
2019-11-18,11884.499999999998,11991.9091796875
2019-11-19,11940.099609374998,12070.66796875
2019-11-20,11999.099609375,12040.1279296875
2019-11-21,11968.400390625,12063.1787109375
2019-11-22,11914.400390624998,12150.205078125
2019-11-25,12073.75,12114.890625
2019-11-26,12037.7001953125,12035.8759765625
2019-11-27,12100.7001953125,12150.8134765625
2019-11-28,12151.150390624998,12212.4541015625
2019-11-29,12056.0498046875,12208.6826171875
2019-12-02,12048.2001953125,12265.5185546875
2019-12-03,11994.2001953125,12188.4716796875
2019-12-04,12043.2001953125,12187.927734375
2019-12-05,12018.400390625,12128.306640625
2019-12-06,11921.5,12137.849609375
2019-12-09,11937.5,12191.9453125
2019-12-10,11856.799804687498,12088.294921875
2019-12-11,11910.150390625,12064.19140625
2019-12-12,11971.799804687498,12035.8046875
2019-12-13,12086.7001953125,12031.587890625
2019-12-16,12053.9501953125,12137.58984375
2019-12-17,12165.0,12225.435546875
2019-12-18,12221.650390625,12216.0224609375
2019-12-19,12259.700195312498,12248.4716796875
2019-12-20,12271.7998046875,12338.1064453125
2019-12-23,12262.749999999998,12353.888671875
2019-12-24,12214.5498046875,12387.05859375
2019-12-26,12126.549804687498,12357.15625
2019-12-27,12245.7998046875,12348.533203125
2019-12-30,12255.849609374998,12267.1103515625
2019-12-31,12168.450195312498,12350.2666015625
2020-01-01,12182.5,12405.1474609375
2020-01-02,12282.200195312498,12313.5244140625
2020-01-03,12226.650390625,12316.7119140625
2020-01-06,11993.049804687498,12395.44921875
2020-01-07,12052.9501953125,12367.9453125
2020-01-08,12025.349609375,12154.44921875
2020-01-09,12215.900390625,12198.89453125
2020-01-10,12256.7998046875,12139.9296875
2020-01-13,12329.549804687498,12378.845703125
